contest_name,year,ward,anc,smd,candidate,votes,over_votes,under_votes
1A01,2012,1,A,01,LISA KRALOVIC,374,NA,NA
1A01,2012,1,A,01,WRITE-IN,24,NA,NA
1A02,2012,1,A,02,ALEXANDER GALLO,295,NA,NA
1A02,2012,1,A,02,VICKEY A. WRIGHT-SMITH,432,NA,NA
1A02,2012,1,A,02,WRITE-IN,11,NA,NA
1A03,2012,1,A,03,STEVE SWANK,406,NA,NA
1A03,2012,1,A,03,WRITE-IN,36,NA,NA
1A04,2012,1,A,04,LAINA AQUILINE,430,NA,NA
1A04,2012,1,A,04,SENTAMU KIREMERWA,120,NA,NA
1A04,2012,1,A,04,WRITE-IN,18,NA,NA
1A05,2012,1,A,05,KEVIN HOLMES,440,NA,NA
1A05,2012,1,A,05,WRITE-IN,16,NA,NA
1A06,2012,1,A,06,KEVIN E. CLINESMITH,87,NA,NA
1A06,2012,1,A,06,PATRICK W. FLYNN,411,NA,NA
1A06,2012,1,A,06,WILLIAM "BILL" BROWN JR.,218,NA,NA
1A06,2012,1,A,06,WRITE-IN,9,NA,NA
1A07,2012,1,A,07,THOMAS BOISVERT,633,NA,NA
1A07,2012,1,A,07,WRITE-IN,44,NA,NA
1A08,2012,1,A,08,KENT C. BOESE,852,NA,NA
1A08,2012,1,A,08,WRITE-IN,14,NA,NA
1A09,2012,1,A,09,BOBBY HOLMES,495,NA,NA
1A09,2012,1,A,09,WRITE-IN,37,NA,NA
1A10,2012,1,A,10,ANTHONY CIMINO,554,NA,NA
1A10,2012,1,A,10,LENWOOD "LENNY" JOHNSON,250,NA,NA
1A10,2012,1,A,10,WRITE-IN,6,NA,NA
1A11,2012,1,A,11,DOTTI LOVE WADE,429,NA,NA
1A11,2012,1,A,11,MIRIAM Z. SAVAD,205,NA,NA
1A11,2012,1,A,11,WRITE-IN,16,NA,NA
1A12,2012,1,A,12,ROSALIND M. GILLIAM,322,NA,NA
1A12,2012,1,A,12,WRITE-IN,10,NA,NA
1A12,2012,1,A,12,ZACH TEUTSCH,233,NA,NA
1B01,2012,1,B,01,MARC MORGAN,655,NA,NA
1B01,2012,1,B,01,WRITE-IN,24,NA,NA
1B02,2012,1,B,02,JEREMY C. LEFFLER,797,NA,NA
1B02,2012,1,B,02,WRITE-IN,47,NA,NA
1B03,2012,1,B,03,SEDRICK MUHAMMAD,541,NA,NA
1B03,2012,1,B,03,WRITE-IN,32,NA,NA
1B04,2012,1,B,04,DEBORAH R. THOMAS,713,NA,NA
1B04,2012,1,B,04,WRITE-IN,50,NA,NA
1B05,2012,1,B,05,RICARDO A. REINOSO,566,NA,NA
1B05,2012,1,B,05,WRITE-IN,20,NA,NA
1B06,2012,1,B,06,DYANA FORESTER,628,NA,NA
1B06,2012,1,B,06,WRITE-IN,27,NA,NA
1B07,2012,1,B,07,JUAN E. LOPEZ,397,NA,NA
1B07,2012,1,B,07,WRITE-IN,22,NA,NA
1B08,2012,1,B,08,EMILY WASHINGTON,640,NA,NA
1B08,2012,1,B,08,WRITE-IN,34,NA,NA
1B09,2012,1,B,09,JAMES A. TURNER,555,NA,NA
1B09,2012,1,B,09,WRITE-IN,61,NA,NA
1B10,2012,1,B,10,TONY NORMAN,307,NA,NA
1B10,2012,1,B,10,WRITE-IN,17,NA,NA
1B11,2012,1,B,11,E. GAIL ANDERSON HOLNESS,404,NA,NA
1B11,2012,1,B,11,WRITE-IN,9,NA,NA
1B12,2012,1,B,12,DAN WITTELS,98,NA,NA
1B12,2012,1,B,12,ERLING (ERL) BAILEY,168,NA,NA
1B12,2012,1,B,12,JOHN C. GREEN,295,NA,NA
1B12,2012,1,B,12,WRITE-IN,16,NA,NA
1B12,2012,1,B,12,ZAHRA JILANI,329,NA,NA
1C01,2012,1,C,01,BRIAN HART,420,NA,NA
1C01,2012,1,C,01,ERIC CLIFTON,159,NA,NA
1C01,2012,1,C,01,JOSEPH MEIER,257,NA,NA
1C01,2012,1,C,01,WRITE-IN,11,NA,NA
1C02,2012,1,C,02,MARTIS "MARTY" DAVIS,761,NA,NA
1C02,2012,1,C,02,WRITE-IN,58,NA,NA
1C03,2012,1,C,03,JOSE SUEIRO,259,NA,NA
1C03,2012,1,C,03,TED GUTHRIE,511,NA,NA
1C03,2012,1,C,03,WRITE-IN,25,NA,NA
1C04,2012,1,C,04,GABRIELA MOSSI,879,NA,NA
1C04,2012,1,C,04,WRITE-IN,21,NA,NA
1C05,2012,1,C,05,ELHAM DEHBOZORGI,715,NA,NA
1C05,2012,1,C,05,WRITE-IN,35,NA,NA
1C06,2012,1,C,06,RAYMOND MOSLEY,183,NA,NA
1C06,2012,1,C,06,WILLIAM (BILLY) SIMPSON,494,NA,NA
1C06,2012,1,C,06,WRITE-IN,20,NA,NA
1C07,2012,1,C,07,WILSON REYNOLDS,647,NA,NA
1C07,2012,1,C,07,WRITE-IN,37,NA,NA
1C08,2012,1,C,08,JIMMY R. ROCK,708,NA,NA
1C08,2012,1,C,08,WRITE-IN,28,NA,NA
1D01,2012,1,D,01,FRANK O. AGBRO,368,NA,NA
1D01,2012,1,D,01,WRITE-IN,11,NA,NA
1D01,2012,1,D,01,YASMIN ROMERO-CASTILLO,466,NA,NA
1D02,2012,1,D,02,ADAM HOEY,464,NA,NA
1D02,2012,1,D,02,WRITE-IN,25,NA,NA
1D03,2012,1,D,03,JACK MCKAY,856,NA,NA
1D03,2012,1,D,03,WRITE-IN,58,NA,NA
1D04,2012,1,D,04,PHIL GREINER,473,NA,NA
1D04,2012,1,D,04,WRITE-IN,20,NA,NA
1D05,2012,1,D,05,ARTURO GRIFFITHS,370,NA,NA
1D05,2012,1,D,05,CHINA TERRELL,540,NA,NA
1D05,2012,1,D,05,WRITE-IN,20,NA,NA
2A01,2012,2,A,01,DAVID M. LEHRMAN,70,NA,NA
2A01,2012,2,A,01,PATRICK KENNEDY,162,NA,NA
2A01,2012,2,A,01,WRITE-IN,6,NA,NA
2A02,2012,2,A,02,REBECCA CODER,505,NA,NA
2A02,2012,2,A,02,WRITE-IN,9,NA,NA
2A03,2012,2,A,03,ASHER CORSON,436,NA,NA
2A03,2012,2,A,03,WRITE-IN,27,NA,NA
2A04,2012,2,A,04,ARMANDO IRIZARRY,452,NA,NA
2A04,2012,2,A,04,WRITE-IN,10,NA,NA
2A05,2012,2,A,05,GRAHAM MICHAEL GALKA,243,NA,NA
2A05,2012,2,A,05,WRITE-IN,8,NA,NA
2A06,2012,2,A,06,FLORENCE HARMON,386,NA,NA
2A06,2012,2,A,06,WRITE-IN,11,NA,NA
2A07,2012,2,A,07,JACKSON CARNES,190,NA,NA
2A07,2012,2,A,07,WRITE-IN,10,NA,NA
2A08,2012,2,A,08,WRITE-IN,47,NA,NA
2B01,2012,2,B,01,MIKE FELDSTEIN,631,NA,NA
2B01,2012,2,B,01,WRITE-IN,16,NA,NA
2B02,2012,2,B,02,KEVIN O'CONNOR,512,NA,NA
2B02,2012,2,B,02,WRITE-IN,7,NA,NA
2B03,2012,2,B,03,BEVAN MACE,113,NA,NA
2B03,2012,2,B,03,STEPHANIE MALTZ,483,NA,NA
2B03,2012,2,B,03,WRITE-IN,16,NA,NA
2B04,2012,2,B,04,KISHAN PUTTA,563,NA,NA
2B04,2012,2,B,04,MARTIN ESPINOZA,107,NA,NA
2B04,2012,2,B,04,STEPHANIE SHERIDAN,229,NA,NA
2B04,2012,2,B,04,WRITE-IN,10,NA,NA
2B05,2012,2,B,05,VICTOR WEXLER,530,NA,NA
2B05,2012,2,B,05,WRITE-IN,112,NA,NA
2B06,2012,2,B,06,MIKE SILVERSTEIN,586,NA,NA
2B06,2012,2,B,06,WRITE-IN,15,NA,NA
2B07,2012,2,B,07,LEO DWYER,735,NA,NA
2B07,2012,2,B,07,WRITE-IN,52,NA,NA
2B08,2012,2,B,08,WILL STEPHENS,798,NA,NA
2B08,2012,2,B,08,WRITE-IN,18,NA,NA
2B09,2012,2,B,09,NOAH SMITH,743,NA,NA
2B09,2012,2,B,09,WRITE-IN,28,NA,NA
2C01,2012,2,C,01,JOHN TINPE,357,NA,NA
2C01,2012,2,C,01,WRITE-IN,13,NA,NA
2C02,2012,2,C,02,HAROLD A. CLOSTER,499,NA,NA
2C02,2012,2,C,02,WRITE-IN,11,NA,NA
2C03,2012,2,C,03,KEVIN WILSEY,521,NA,NA
2C03,2012,2,C,03,WRITE-IN,9,NA,NA
2D01,2012,2,D,01,DAVID R. BENDER,513,NA,NA
2D01,2012,2,D,01,WRITE-IN,15,NA,NA
2D02,2012,2,D,02,ERIC LAMAR,447,NA,NA
2D02,2012,2,D,02,WRITE-IN,13,NA,NA
2E01,2012,2,E,01,ED SOLOMON,543,NA,NA
2E01,2012,2,E,01,WRITE-IN,20,NA,NA
2E02,2012,2,E,02,RON LEWIS,477,NA,NA
2E02,2012,2,E,02,WRITE-IN,19,NA,NA
2E03,2012,2,E,03,JEFFREY JONES,446,NA,NA
2E03,2012,2,E,03,WRITE-IN,21,NA,NA
2E04,2012,2,E,04,WRITE-IN,10,NA,NA
2E05,2012,2,E,05,BILL STARRELS,335,NA,NA
2E05,2012,2,E,05,WRITE-IN,16,NA,NA
2E06,2012,2,E,06,TOM BIRCH,643,NA,NA
2E06,2012,2,E,06,WRITE-IN,17,NA,NA
2E07,2012,2,E,07,CHARLES F. EASON JR.,555,NA,NA
2E07,2012,2,E,07,WRITE-IN,23,NA,NA
2E08,2012,2,E,08,PETER PRINDIVILLE,243,NA,NA
2E08,2012,2,E,08,WRITE-IN,16,NA,NA
2F01,2012,2,F,01,PETER LALLAS,707,NA,NA
2F01,2012,2,F,01,WRITE-IN,35,NA,NA
2F02,2012,2,F,02,ADAM L. STEMPEL,290,NA,NA
2F02,2012,2,F,02,JAMES BAKER,89,NA,NA
2F02,2012,2,F,02,WALT CAIN,335,NA,NA
2F02,2012,2,F,02,WRITE-IN,8,NA,NA
2F03,2012,2,F,03,CHRIS LINN,776,NA,NA
2F03,2012,2,F,03,WRITE-IN,29,NA,NA
2F04,2012,2,F,04,JOEL HEISEY,321,NA,NA
2F04,2012,2,F,04,JOHN FANNING,359,NA,NA
2F04,2012,2,F,04,WRITE-IN,12,NA,NA
2F05,2012,2,F,05,JIM LAMARE,506,NA,NA
2F05,2012,2,F,05,WRITE-IN,16,NA,NA
2F06,2012,2,F,06,GREG MELCHER,679,NA,NA
2F06,2012,2,F,06,WRITE-IN,18,NA,NA
2F07,2012,2,F,07,MATT RAYMOND,470,NA,NA
2F07,2012,2,F,07,WRITE-IN,16,NA,NA
2F08,2012,2,F,08,HOWARD S. MARKS,240,NA,NA
2F08,2012,2,F,08,MATTHEW CONNOLLY,283,NA,NA
2F08,2012,2,F,08,WRITE-IN,12,NA,NA
3B01,2012,3,B,01,JOE FIORILLO,673,NA,NA
3B01,2012,3,B,01,WRITE-IN,14,NA,NA
3B02,2012,3,B,02,JACKIE BLUMENTHAL,622,NA,NA
3B02,2012,3,B,02,WRITE-IN,28,NA,NA
3B03,2012,3,B,03,CHARLES CINQUE FULWOOD,660,NA,NA
3B03,2012,3,B,03,WRITE-IN,27,NA,NA
3B04,2012,3,B,04,MARY C. YOUNG,801,NA,NA
3B04,2012,3,B,04,WRITE-IN,23,NA,NA
3B05,2012,3,B,05,BRIAN A. COHEN,692,NA,NA
3B05,2012,3,B,05,WRITE-IN,41,NA,NA
3C01,2012,3,C,01,LEE BRIAN REBA,781,NA,NA
3C01,2012,3,C,01,WRITE-IN,23,NA,NA
3C02,2012,3,C,02,GWENDOLYN BOLE,546,NA,NA
3C02,2012,3,C,02,PETER W. BRUSOE,196,NA,NA
3C02,2012,3,C,02,WRITE-IN,9,NA,NA
3C03,2012,3,C,03,JEFFREY KALIEL,471,NA,NA
3C03,2012,3,C,03,KEVIN MICHAEL WHEATLEY,313,NA,NA
3C03,2012,3,C,03,WRITE-IN,28,NA,NA
3C04,2012,3,C,04,RICHARD STEACY,594,NA,NA
3C04,2012,3,C,04,WRITE-IN,21,NA,NA
3C05,2012,3,C,05,MARGARET A. SIEGEL,856,NA,NA
3C05,2012,3,C,05,WRITE-IN,30,NA,NA
3C06,2012,3,C,06,CARL ROLLER,757,NA,NA
3C06,2012,3,C,06,WRITE-IN,27,NA,NA
3C07,2012,3,C,07,VICTOR SILVEIRA,654,NA,NA
3C07,2012,3,C,07,WRITE-IN,22,NA,NA
3C08,2012,3,C,08,CATHERINE MAY,687,NA,NA
3C08,2012,3,C,08,WRITE-IN,32,NA,NA
3C09,2012,3,C,09,NANCY J. MACWOOD,755,NA,NA
3C09,2012,3,C,09,WRITE-IN,29,NA,NA
3D01,2012,3,D,01,KENT SLOWINSKI,531,NA,NA
3D01,2012,3,D,01,MICHAEL MAZZUCHI,419,NA,NA
3D01,2012,3,D,01,WRITE-IN,7,NA,NA
3D02,2012,3,D,02,TOM SMITH,429,NA,NA
3D02,2012,3,D,02,WRITE-IN,19,NA,NA
3D03,2012,3,D,03,NAN S. WELLS,619,NA,NA
3D03,2012,3,D,03,WRITE-IN,24,NA,NA
3D04,2012,3,D,04,STU ROSS,721,NA,NA
3D04,2012,3,D,04,WRITE-IN,36,NA,NA
3D05,2012,3,D,05,JAMESON FREEMAN,178,NA,NA
3D05,2012,3,D,05,W. PHILIP THOMAS,355,NA,NA
3D05,2012,3,D,05,WRITE-IN,50,NA,NA
3D06,2012,3,D,06,WRITE-IN,193,NA,NA
3D07,2012,3,D,07,WRITE-IN,54,NA,NA
3D08,2012,3,D,08,MICHAEL GOLD,473,NA,NA
3D08,2012,3,D,08,WRITE-IN,32,NA,NA
3D09,2012,3,D,09,GAYLE TROTTER,686,NA,NA
3D09,2012,3,D,09,KERRON PURCHESS,51,NA,NA
3D09,2012,3,D,09,WRITE-IN,12,NA,NA
3D10,2012,3,D,10,JOE WISNIEWSKI,165,NA,NA
3D10,2012,3,D,10,SILVIA LUCERO,88,NA,NA
3D10,2012,3,D,10,WRITE-IN,0,NA,NA
3E01,2012,3,E,01,ELIZABETH S. HAILE,719,NA,NA
3E01,2012,3,E,01,WRITE-IN,35,NA,NA
3E02,2012,3,E,02,MATTHEW FRUMIN,804,NA,NA
3E02,2012,3,E,02,WRITE-IN,24,NA,NA
3E03,2012,3,E,03,JONATHAN BENDER,688,NA,NA
3E03,2012,3,E,03,WRITE-IN,41,NA,NA
3E04,2012,3,E,04,TOM QUINN,767,NA,NA
3E04,2012,3,E,04,WRITE-IN,48,NA,NA
3E05,2012,3,E,05,SAMUEL J. SEREBIN,474,NA,NA
3E05,2012,3,E,05,WRITE-IN,43,NA,NA
3F01,2012,3,F,01,ADAM SCOTT TOPE,604,NA,NA
3F01,2012,3,F,01,WRITE-IN,17,NA,NA
3F02,2012,3,F,02,KAREN LEE PERRY,665,NA,NA
3F02,2012,3,F,02,WRITE-IN,21,NA,NA
3F03,2012,3,F,03,MARY BETH RAY,746,NA,NA
3F03,2012,3,F,03,WRITE-IN,36,NA,NA
3F04,2012,3,F,04,JOHN WILSON JR.,103,NA,NA
3F04,2012,3,F,04,SALLY W. GRESHAM,440,NA,NA
3F04,2012,3,F,04,WRITE-IN,7,NA,NA
3F05,2012,3,F,05,MANOLIS R. PRINIOTAKIS,581,NA,NA
3F05,2012,3,F,05,MEGAN N. ROSAN,226,NA,NA
3F05,2012,3,F,05,WRITE-IN,5,NA,NA
3F06,2012,3,F,06,DAVID SOLORZANO LOWELL,661,NA,NA
3F06,2012,3,F,06,WRITE-IN,35,NA,NA
3F07,2012,3,F,07,BOB SUMMERSGILL,703,NA,NA
3F07,2012,3,F,07,WRITE-IN,16,NA,NA
3G01,2012,3,G,01,CAROLYN "CALLIE" COOK,898,NA,NA
3G01,2012,3,G,01,WRITE-IN,18,NA,NA
3G02,2012,3,G,02,GARY THOMPSON,790,NA,NA
3G02,2012,3,G,02,WRITE-IN,30,NA,NA
3G03,2012,3,G,03,RANDY SPECK,702,NA,NA
3G03,2012,3,G,03,WRITE-IN,30,NA,NA
3G04,2012,3,G,04,ALLEN E. BEACH,824,NA,NA
3G04,2012,3,G,04,WRITE-IN,33,NA,NA
3G05,2012,3,G,05,DAVID ENGEL,822,NA,NA
3G05,2012,3,G,05,WRITE-IN,38,NA,NA
3G06,2012,3,G,06,JIM MCCARTHY,680,NA,NA
3G06,2012,3,G,06,WRITE-IN,16,NA,NA
3G07,2012,3,G,07,HENRY GRIFFIN,277,NA,NA
3G07,2012,3,G,07,JONATHAN T. CHU,248,NA,NA
3G07,2012,3,G,07,SANDRA THOMAS,214,NA,NA
3G07,2012,3,G,07,WRITE-IN,6,NA,NA
4A01,2012,4,A,01,WRITE-IN,185,NA,NA
4A02,2012,4,A,02,DWAYNE M. TOLIVER,1113,NA,NA
4A02,2012,4,A,02,WRITE-IN,26,NA,NA
4A03,2012,4,A,03,STEPHEN A. "STEVE" WHATLEY,680,NA,NA
4A03,2012,4,A,03,WRITE-IN,8,NA,NA
4A04,2012,4,A,04,MARIAN C. BENNETT,763,NA,NA
4A04,2012,4,A,04,WRITE-IN,20,NA,NA
4A05,2012,4,A,05,WRITE-IN,62,NA,NA
4A06,2012,4,A,06,KARRYE Y. BRAXTON,416,NA,NA
4A06,2012,4,A,06,WRITE-IN,10,NA,NA
4A07,2012,4,A,07,DAVE WILSON,663,NA,NA
4A07,2012,4,A,07,WRITE-IN,16,NA,NA
4A08,2012,4,A,08,GALE BLACK,1018,NA,NA
4A08,2012,4,A,08,WRITE-IN,25,NA,NA
4B01,2012,4,B,01,CHARLES E. ONWUCHE JR.,203,NA,NA
4B01,2012,4,B,01,SARA GREEN,766,NA,NA
4B01,2012,4,B,01,WRITE-IN,10,NA,NA
4B02,2012,4,B,02,FAITH E. WHEELER,835,NA,NA
4B02,2012,4,B,02,WRITE-IN,33,NA,NA
4B03,2012,4,B,03,FRED GRANT,964,NA,NA
4B03,2012,4,B,03,WRITE-IN,22,NA,NA
4B04,2012,4,B,04,BRENDA DAWSON PARKS,601,NA,NA
4B04,2012,4,B,04,GERALD LONG SAZON JR,158,NA,NA
4B04,2012,4,B,04,JAMES J. SYDNOR,238,NA,NA
4B04,2012,4,B,04,WRITE-IN,20,NA,NA
4B05,2012,4,B,05,BRENDA SPEAKS,666,NA,NA
4B05,2012,4,B,05,WRITE-IN,23,NA,NA
4B06,2012,4,B,06,RONALD (RON) AUSTIN,912,NA,NA
4B06,2012,4,B,06,WRITE-IN,22,NA,NA
4B07,2012,4,B,07,JAMES D. GASTON III,379,NA,NA
4B07,2012,4,B,07,JUDI JONES,651,NA,NA
4B07,2012,4,B,07,WRITE-IN,18,NA,NA
4B08,2012,4,B,08,WRITE-IN,18,NA,NA
4B08,2012,4,B,08,YVONNE A. JEFFERSON,973,NA,NA
4B09,2012,4,B,09,WRITE-IN,124,NA,NA
4C01,2012,4,C,01,MICHAEL YATES,716,NA,NA
4C01,2012,4,C,01,WRITE-IN,17,NA,NA
4C02,2012,4,C,02,JANET M. MYERS,878,NA,NA
4C02,2012,4,C,02,WRITE-IN,25,NA,NA
4C03,2012,4,C,03,JEFF STANDISH,736,NA,NA
4C03,2012,4,C,03,WRITE-IN,23,NA,NA
4C04,2012,4,C,04,RICKEY WILLIAMS JR.,368,NA,NA
4C04,2012,4,C,04,WRITE-IN,14,NA,NA
4C05,2012,4,C,05,JOSEPH M. VAUGHAN,512,NA,NA
4C05,2012,4,C,05,WRITE-IN,12,NA,NA
4C06,2012,4,C,06,ADAV NOTI,198,NA,NA
4C06,2012,4,C,06,VANN-DI GALLOWAY,447,NA,NA
4C06,2012,4,C,06,WRITE-IN,15,NA,NA
4C07,2012,4,C,07,SHANEL O. ANTHONY,829,NA,NA
4C07,2012,4,C,07,WRITE-IN,23,NA,NA
4C08,2012,4,C,08,TIMOTHY A. JONES,795,NA,NA
4C08,2012,4,C,08,WRITE-IN,28,NA,NA
4C09,2012,4,C,09,JARAHN D. HILLSMAN,357,NA,NA
4C09,2012,4,C,09,WRITE-IN,21,NA,NA
